Comarca,Municipi,Codi municipi,Refugi climàtic,Latitud,Longitud,Tipologia,Nom,Adreça,Telèfon,Correu,Horari,Gratuïtat,Accessibilitat,Aigua,Lavabo,Mobiliari per seure,Capacitat,Georeferència
Baix Empordà,Torroella de Montgrí,171997,Sí,42.05299038,3.19647026,Biblioteca,Biblioteca Mar de Llibres,"C. de Guillem de Montgrí, 31, 17258 L'Estartit, Girona",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (3.19647026 42.05299038)
Maresme,Sant Andreu de Llavaneres,081976,Sí,41.57467051,2.48337001,Sala polivalent,Sala de plens de l'ajuntament,"Pl. de la Vila, 1",937023600,ajuntament@ajllavaneres.cat,09:00 - 14:00,Sí,Sí,Sí,Sí,Sí,50,POINT (2.48337001 41.57467051)
Tarragonès,"Catllar, el",430430,Sí,41.1766407,1.3281783,Piscina,Piscina municipal Torre d'en Guiu,"C. Masieta Queralt, 506",977653101,ajuntament@elcatllar.cat,11:00 - 20:00,No,Sí,Sí,Sí,Sí,265,POINT (1.3281783 41.1766407)
Baix Llobregat,Sant Joan Despí,082172,Sí,41.37848542,2.05639338,Parc densament arbrat,Parc de Torreblanca,"Ctra. Reial, 159",NA,NA,10:00 - 21:45 || Setembre 10:00 - 19:45,Sí,Sí,Sí,No,Sí,,POINT (2.05639338 41.37848542)
Baix Empordà,Regencós,171447,Sí,41.95313206,3.16648264,Parc densament arbrat,Refugi climàtic del cami del Cementiri,"Camí del Cementiri, s/n, Regencòs",972611369,ajuntament@regencos.cat,Indefinit,Sí,Sí,Sí,No,Sí,20,POINT (3.16648264 41.95313206)
Bages,Manresa,081136,Sí,41.73880557,1.8471999,Espai firal,Palau Firal,"C. Castelladral, 5 -7",938729100,ptc@ajmanresa.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,100,POINT (1.8471999 41.73880557)
Barcelonès,Barcelona,080193,Sí,41.40972338,2.14131003,Piscina,Piscines del Centre Esportiu Municipal Putxet,"C. Marmellà, 23",NA,info@putxetsport.cat,Juliol i Agost: dl. a dv. 07:00 - 23:00 | ds. 08:00 - 20:00 | dg. 09:00 - 14:30 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.14131003 41.40972338)
Barcelonès,Barcelona,080193,Sí,41.38374067,2.1668637,Espai cultural,Vestíbul CCCB planta -1,"C. de Montalegre, 5",NA,info@cccb.org,Juliol: dl. a dv. 11:00 - 20:00 | ds. 11:00 - 20:00 | dg. 11:00 - 20:00 || Agost: dl. a dv. 11:00 - 20:00 || Setembre: Indefinit,Sí,NA,NA,Sí,Sí,,POINT (2.1668637 41.38374067)
Segrià,Massalcoreig,251312,Sí,41.45777718,0.3584095,Equipament cívic,Casal social,"Pl. del Casal, s/n",973793601,ajuntament@massalcoreig.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (0.3584095 41.45777718)
Selva,Maçanet de la Selva,171030,Sí,41.78180186,2.70209733,Equipament cívic,Casal de jubilats de Residencial Parc,"C. Xiprer, 20",972859305,NA,dl. a ds. 16:00 - 20:30,Sí,Sí,Sí,Sí,Sí,50,POINT (2.70209733 41.78180186)
Noguera,Vallfogona de Balaguer,252402,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barcelonès,Barcelona,080193,Sí,41.41351722,2.2207628,Biblioteca,Biblioteca de l'Escola d'Enginyeria Barcelona Est (UPC),"C. Eduard Maristany, 16",NA,biblioteca.euetib@upc.edu,Juliol: dl. a dv. 08:30 - 14:00 || Agost: Tancat || Setembre: Del 1-8: dl. a dv. 08:30 - 14:00 | Després: dl. a dj. 08:30 - 20:30 | dv. 08:30 - 14:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.2207628 41.41351722)
Vallès Occidental,Rubí,081846,Sí,41.47289579,2.03349115,Parc densament arbrat,Parc del carrer Chueca (Can Vallhonrat),Parc del C. Chueca (Can Vallhonrat),NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.03349115 41.47289579)
Baix Camp,Montbrió del Camp,430884,Sí,41.08747805,0.9579948,Espai cultural,Casa de Cultura de Mont-roig,"C. Mare de Deu de la Roca, 5",977837005,ajuntament@mont-roig.cat,09:00 - 20:00,Sí,No,No,Sí,Sí,150,POINT (0.9579948 41.08747805)
Anoia,Igualada,081022,Sí,41.58003448,1.62207865,Equipament cívic,Espai cívic Centre,"C. Trinitat, 12",938068101,NA,09:00 - 14:00 (en cas d'onada de calor obert fins 18:00),Sí,Sí,Sí,Sí,Sí,,POINT (1.62207865 41.58003448)
Alt Empordà,Cistella,170519,Sí,42.26832756,2.84745429,Equipament cívic,Centre cívic El Trull,"Pl. Major, 4",972547093,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,100,POINT (2.84745429 42.26832756)
Vallès Occidental,Terrassa,08224,Sí,41.5620194,1.9864111,Equipament cívic,Casal Cívic i Comunitari Terrassa - Ca n'aurell,"C. de Nicolau Talló, 191",936932500,cc.terrassacanaurell@gencat.cat,dl. a dv. 09:00 - 21:00 | dg. 10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,20,POINT (1.9864111 41.5620194)
Baix Camp,Reus,431233,Sí,41.14473388,1.0989199,Parc densament arbrat,Parc del Trenet,"Av. dels Països Catalans, 209V, 43205 Reus, Tarragona",NA,NA,Juny-Agost: 08:00 - 22:00 || Setembre: 08:00 - 21:00,Sí,Sí,Sí,No,Sí,,POINT (1.0989199 41.14473388)
Vallès Occidental,Rubí,081846,Sí,41.49484427,2.02647308,Espai cultural,Museu municipal el Castell MMUC,"C. Castell, 35, 08191 Rubí",935887574,museu@ajrubi.cat,dc. 16:00 - 20:00 | dj. a ds. 11:00 - 14:00 i 16:00 - 20:00 | dg. i festius 11:00 - 14:00 || Tancat a l'agost i l'1 de setembre,Sí,Sí,No,Sí,Sí,10,POINT (2.02647308 41.49484427)
Barcelonès,Barcelona,080193,Sí,41.41985955,2.19811844,Parc densament arbrat,Parc de Sant Martí,"C. Menorca, 64",NA,NA,Indefinit,Sí,Sí,NA,No,NA,,POINT (2.19811844 41.41985955)
Ribera d'Ebre,"Palma d'Ebre, la",430995,Sí,41.28221653,0.665758,Espai cultural,Centre cultural,"Pl. Catalunya, 7",NA,NA,08:00 - 23:00,Sí,Sí,Sí,Sí,Sí,138,POINT (0.665758 41.28221653)
Vallès Occidental,Terrassa,082798,Sí,41.55155737,2.0035672,Parc densament arbrat,Parc de la Cogullada,"C. ďEdison, 123",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.0035672 41.55155737)
Tarragonès,Tarragona,431482,Sí,41.11886214,1.25407955,Parc densament arbrat,Parc de Saavedra,"Av. Catalunya, 2C, 43002 Tarragona",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,40,POINT (1.25407955 41.11886214)
Conca de Barberà,Barberà de la Conca,430213,Sí,41.4092116,1.2282938,Piscina,Piscina municipal,C. Valldemur,NA,NA,12:00 - 20:00,No,Sí,No,Sí,Sí,200,POINT (1.2282938 41.4092116)
Vallès Occidental,Sabadell,08204,Sí,41.6564146,0.7986808,Equipament cívic,Casal Cívic i Comunitari Sabadell - Rogelio Soto,"C. de Campoamor, 93-95",937118372,cc.rogeliosoto@gencat.cat,dl. a dv. 09:00 - 14:00 i 15:00 - 21:00 | ds. 10:00 - 13:30 i 15:00 - 21:00,Sí,Sí,Sí,Sí,Sí,234,POINT (0.7986808 41.6564146)
Vallès Occidental,Terrassa,082798,Sí,41.57706498,2.0221358,Parc densament arbrat,Plaça Primer de Maig,Pl. Primer de Maig,NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.0221358 41.57706498)
Maresme,Argentona,080095,Sí,41.53304,2.41944,Altres,Oficina d'atenció del Cros,"Local 17, barri Sant Miquel del Cros",937412642,pladebarri@argentona.cat,dl. a dv. 08:30 - 14:30,Sí,Sí,No,Sí,Sí,15,POINT (2.41944 41.53304)
Baix Llobregat,"Prat de Llobregat, el",081691,Sí,41.32360207,2.09001998,Equipament cívic,Centre cultural Remolar - Espai gent gran,"C. de Ramon Llull, 12-16",933790050,NA,dl. a dv. 10:00 - 13:00 i 16:00 - 20:00 | ds. i dg. 16:00 - 20:00,Sí,Sí,Sí,Sí,Sí,100,POINT (2.09001998 41.32360207)
Alt Empordà,Pont de Molins,171352,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osona,"Masies de Voltregà, les",081173,Sí,42.01252738,2.25011556,Altres,Ajuntament de Les Masies de Voltregà,"Ctra. c-17z pk 70.4, 08508 Les Masies de Voltregà",938570028,info@lesmasiesdevoltrega.cat,dl. a dv. 08:00 - 15:00,Sí,Sí,Sí,Sí,Sí,25,POINT (2.25011556 42.01252738)
Baix Llobregat,Pallejà,081574,Sí,41.4219254,1.99775053,Parc densament arbrat,Parc de la Molinada,"Av. Prat de la Riba, 11",936630000,mediambient@palleja.cat,Indefinit,Sí,Sí,Sí,No,Sí,50,POINT (1.99775053 41.4219254)
Vallès Occidental,Barberà del Vallès,082520,Sí,41.52058486,2.12153525,Parc densament arbrat,Plaça Constitució,Pl. Constitució,937297171,barbera@bdv.cat,Infeninti,Sí,Sí,Sí,No,Sí,,POINT (2.12153525 41.52058486)
Baix Camp,"Albiol, l'",430038,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Garrotxa,Olot,171143,Sí,42.17548162,2.48868809,Parc densament arbrat,Parc de les Mòres / Parc Espunya,"Ronda Sometent, 17",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.48868809 42.17548162)
Barcelonès,Barcelona,080193,Sí,41.38601169,2.18231006,Equipament cívic,Casal de gent gran Casc Antic,"C. del Rec, 23-25",NA,comerc@esport3.org,dl. a dv. 10:00 - 12:30 i 15:00 - 19:30,Sí,Sí,No,Sí,Sí,,POINT (2.18231006 41.38601169)
Noguera,Balaguer,250404,Sí,41.78885985,0.80488975,Espai cultural,Museu de la Noguera,"Pl. dels Comptes d'Urgell, 5",973445194,museu@balaguer.net,dl. a ds.10:00 - 14:00 i 17:00 - 19:00 | dg. i festius 10:00 - 14:00,No,Sí,Sí,Sí,Sí,,POINT (0.80488975 41.78885985)
Maresme,"Masnou, el",081189,Sí,41.48643302,2.31123514,Equipament cívic,Espai veïnal Masnou Alt,Pl. Ramon i Cajal,NA,NA,dl. a dv. 15:00 - 17:00 || Agost Tancat,Sí,Sí,Sí,Sí,Sí,,POINT (2.31123514 41.48643302)
Vallès Occidental,Rubí,081846,Sí,41.50876468,2.04578946,Equipament cívic,La Cruïlla Centre cívic del Pinar,"Urbanització El Pinar, 1, 08191 Rubí",935887000,NA,dl. a dv. 08:00 - 21:00 || Agost tancat,Sí,Sí,No,Sí,Sí,10,POINT (2.04578946 41.50876468)
Baix Ebre,Deltebre,439018,Sí,40.72730123,0.70044645,Piscina,Instal·lacions esportives Claudio Flores,Av. de la Pau,NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (0.70044645 40.72730123)
Baix Camp,Montbrió del Camp,430884,Sí,41.12111618,1.00461955,Equipament cívic,Casa de cultura,"Av. de Sant Jordi, 4",977826835,biblioteca@montbriodelcamp.cat,16:00 - 20:00,Sí,Sí,No,Sí,Sí,250,POINT (1.00461955 41.12111618)
Moianès,Castellcir,080556,Sí,41.764659,2.147096,Parc densament arbrat,Parc de la Quintana,"Av. Moianès, s/n",938668151,castellcir@castellcir.cat,00:00 - 12:00,Sí,Sí,Sí,Sí,Sí,200,POINT (2.147096 41.764659)
Conca de Barberà,Blancafort,430290,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alt Camp,Valls,431613,Sí,41.28767259,1.25628094,Altres,Passeig de l'Estació,Pg. de l'Estació,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (1.25628094 41.28767259)
Baix Camp,Reus,431233,Sí,41.14879638,1.11128223,Altres,Mercat del Carrilet,"Av. Jaume I, s/n, 43204 Reus, Tarragona",977300006,NA,"dl., dt., dc., dj. i ds. 07:30 - 14:00 | dv. 17:00 - 23:00",Sí,Sí,Sí,Sí,No,,POINT (1.11128223 41.14879638)
Osona,Taradell,082785,Sí,41.8729083,2.28240046,Parc densament arbrat,Bosc del Pujoló,"Av. Mn. Cinto Verdaguer, s/n",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.28240046 41.8729083)
Alt Empordà,Garriguella,170773,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alt Empordà,Capmany,170427,Sí,42.37355551,2.92079081,Espai cultural,Punt de lectura Ibañez Escofet,"C. Major, 8",628237698,ajuntament@capmany.cat,10:00 - 20:00,Sí,Sí,Sí,Sí,Sí,40,POINT (2.92079081 42.37355551)
Baix Llobregat,Santa Coloma de Cervelló,082444,Sí,41.3619738,2.02872193,Parc densament arbrat,Camet de la Colònia Güell,"C. Barrau, s/n",936450700,scc.ajuntament@santacolomadecervello.cat,Indefinit,Sí,Sí,Sí,No,Sí,300,POINT (2.02872193 41.3619738)
Barcelonès,Barcelona,080193,Sí,41.3935702,2.1947428,Centre educatiu,Escola Bogatell,"C. Ramon Turró, 74-76",NA,escolabogatell@xtec.cat,Agost i Setembre: Tancat || Juliol: dl. a dv. 17:30 - 20:30 | ds. 17:30 - 20:30 | dg. 17:30 - 20:30,Sí,Sí,Sí,NA,Sí,,POINT (2.1947428 41.3935702)
Selva,Maçanet de la Selva,171030,Sí,41.77599851,2.72952897,Piscina,Piscina municipal de Maçanet de la Selva,"Av. Passeig Sant Llorenç, 1",NA,NA,dl. a dg. 11:00 - 20:00,No,Sí,No,Sí,Sí,311,POINT (2.72952897 41.77599851)
Selva,Sant Hilari Sacalm,171642,Sí,41.87885502,2.50983935,Espai cultural,Casa de Cultura Sant Hilari Sacalm,"Pl. del Doctor Gravalosa, 4",972868656,casadecultura@santhilari.cat,"dl., dc. i dv. 10:00 - 13:00 i 16:00 - 19:00 | dt. i dj. 16:00 - 19:00",Sí,Sí,Sí,Sí,Sí,,POINT (2.50983935 41.87885502)
Solsonès,"Coma i la Pedra, la",251636,Sí,42.17856958,1.59085288,Piscina,Local social - piscina municipal,"Ctra. de Tuixent, 13",NA,NA,10:00 - 19:00,Sí,Sí,Sí,Sí,Sí,,POINT (1.59085288 42.17856958)
Vallès Occidental,Rubí,081846,Sí,41.48647944,2.02047114,Parc densament arbrat,Parc dels Geranis (Av. Can Sucarrats),Parc dels Geranis (Av. Can Sucarrats),NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.02047114 41.48647944)
Baix Llobregat,Olesa de Montserrat,081477,Sí,41.54443817,1.89230514,Biblioteca,Biblioteca municipal,"C. de Salvador Casas i Baltasar, 26, 08640 Olesa de Montserrat, Barcelona",937780050,NA,"dl., dt. i dc. 15:00 - 20:00 | dj. 09:30 - 13:00 i 15:00 - 20:00 | dv. 09:30 - 14:00",Sí,Sí,Sí,Sí,Sí,,POINT (1.89230514 41.54443817)
Barcelonès,Barcelona,080193,Sí,41.39235911,2.19799718,Piscina,Piscina del Centre Esportiu Municipal Nova Icària,"Av. Icària, 167",NA,NA,Juliol i Agost: dl. a dv. 07:00 - 23:00 | ds. 08:00 - 22:00 | dg. 08:00 - 15:00 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.19799718 41.39235911)
Pla de l'Estany,Banyoles,17820,Sí,42.1188999,2.7613251,Equipament cívic,Casal Cívic i Comunitari Banyoles,"C. de Josep Maria Bohigas i Masoliver, 19",972571162,cc.banyoles@gencat.cat,Juliol: dl. a dv. 09:00 - 21:00 | ds. 10:00 - 21:00 || Agost: dl. a dv. 11:00 - 19:00,Sí,Sí,Sí,Sí,Sí,100,POINT (2.7613251 42.1188999)
Barcelonès,Barcelona,080193,Sí,41.42388411,2.15556598,Altres,Mercat de Carmel,"C. Llobregós, 149",NA,mercatcarmel@bcn.cat,"Juliol i Setembre: dl., dt. i dc. 07:30 - 14:00 | dj. 07:30 - 14:00 i 17:00 - 20:00 | dv. 07:00 - 20:30 | ds. 07:00 - 15:00 || Agost: Tancat",Sí,Sí,Sí,Sí,Sí,,POINT (2.15556598 41.42388411)
Priorat,Falset,430555,Sí,41.14307248,0.81889427,Piscina,Piscina municipal,"Av. Generalitat, 15",NA,NA,12:00 - 20:00,No,Sí,Sí,Sí,No,,POINT (0.81889427 41.14307248)
Barcelonès,Barcelona,080193,Sí,41.39171721,2.18473781,Equipament cívic,Centre cívic Parc Sandaru,"C. Buenaventura Muñoz, 21",NA,info@ccparcsandaru.cat,Juliol: dl. a dv. 09:00 - 14:00 i 16:00 - 20:00 | ds. 10:00 - 14:00 || Agost: Tancat || Setembre: dl. a dv. 08:00 - 14:00 i 16:00 - 20:00 | ds. 10:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.18473781 41.39171721)
Segrià,Aitona,250387,Sí,41.49146158,0.45956051,Poliesportiu,Poliesportiu,"C. Joan XXIII, s/n",973794010,ajuntament@ajuntamentaitona.cat,09:00 - 17:00,Sí,Sí,Sí,Sí,Sí,500,POINT (0.45956051 41.49146158)
Maresme,Canet de Mar,080403,Sí,41.59343975,2.57213183,Parc densament arbrat,Parc Turó del Drac,"Pl. Busquets, s/n",NA,NA,Indefinit,Sí,Sí,No,No,Sí,200,POINT (2.57213183 41.59343975)
Maresme,Premià de Dalt,082303,Sí,41.50476366,2.34711179,Biblioteca,Jaume Perich i Escala,"Riera Sant Pere, 88",936931585,b.premiad@diba.cat,dl. a dj. 15:00 - 20:00 | dv. 09:00 - 14:00 | ds. i dg. tancat || Vacances del 5 al 25 agost,Sí,Sí,Sí,Sí,Sí,,POINT (2.34711179 41.50476366)
Vallès Occidental,Sabadell,081878,Sí,41.53749453,2.10271543,Equipament cívic,Centre cívic Gràcia,"Pl. del Treball, 1",937109060,NA,15:30 - 21:00,Sí,Sí,No,Sí,Sí,,POINT (2.10271543 41.53749453)
Priorat,Ulldemolins,431573,Sí,41.31983375,0.87913762,Sala polivalent,Local social,"Av. Duc de Cardona, 13, 43363 Ulldemolins, Tarragona",NA,ajuntament@ulldemolins.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,500,POINT (0.87913762 41.31983375)
Anoia,Igualada,08700,Sí,41.5805831,1.6298735,Equipament cívic,Casal Cívic i Comunitari Igualada - Montserrat,"C. de les Orquídies, 7",938043661,cc.montserrat@gencat.cat,Juliol: dl. a dv. 09:00 - 14:00 i 15:00 - 22:00 || Agost: dl. a dv. 11:00 - 19:00,Sí,Sí,Sí,Sí,Sí,110,POINT (1.6298735 41.5805831)
Osona,Roda de Ter,081831,Sí,41.97716186,2.31271098,Espai cultural,Museu de l’Esquerda,"AV. Pere Baurier, 30",938540271,m.a.esquerda@rodadeter.cat,Juny i juliol: dt. a dv. 10:00 - 14:00 | dt. 17:00 - 19:00 || Agost:13 al 16 d’agost 10:00 - 14:00 | 20 al 31 d’agost 10:30 - 18:00 | Caps de setmana i festius 10:30 - 13:30 | dl. tancat || Tancat del 5 a l’11 d’agost,Sí,Sí,Sí,Sí,Sí,40,POINT (2.31271098 41.97716186)
Barcelonès,Barcelona,080193,Sí,41.39994059,2.12947391,Biblioteca,Biblioteca Clarà,"C. Doctor Carulla, 22-24",NA,b.barcelona.cl@diba.cat,"Juliol i Setembre: dc i dj. 09:30 - 13:30 i 15:00 - 20:00 | dl., dt. i dv. 15:00 - 20:00 || Agost: Tancat",Sí,Sí,No,Sí,Sí,,POINT (2.12947391 41.39994059)
Vallès Occidental,Sant Quirze del Vallès,082384,Sí,41.53214086,2.07656293,Biblioteca,Biblioteca,"C. Eduarrd Toldrà, s/n",937216800,oac@santquirzevalles.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,100,POINT (2.07656293 41.53214086)
Gironès,Girona,170792,Sí,41.98357097,2.82473135,Altres,Sala d'espera OAMR,"Pl. del Vi, 1, 17004 Girona",972419010,ajuntamentinforma@ajgirona.cat,dl. a dv. 15:00 - 20:00,Sí,Sí,No,Sí,Sí,5,POINT (2.82473135 41.98357097)
Barcelonès,Barcelona,080193,Sí,41.38276437,2.19259131,Parc densament arbrat,Parc de la Barceloneta,"Pg. Marítim de la Barceloneta, 15-21",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.19259131 41.38276437)
Baix Camp,Vandellòs i l'Hospitalet de l'Infant,431628,Sí,40.99305501,0.9195187,Equipament cívic,Casal de jubilats de L'Hospitalet de L'Infant,"C. Alamanda, 6",977823121,info@vandellos-hospitalet.cat,09:00 - 19:00,Sí,Sí,Sí,Sí,Sí,200,POINT (0.9195187 40.99305501)
Gironès,Girona,170792,Sí,41.97539263,2.81142888,Equipament cívic,Centre cívic Sant Narcís,"Pl. Assumpció, 26-27, 17005 Girona",972237063,ccsantnarcis@ajgirona.cat,dl. a dv. 09:00 - 13:00 i 16:00 - 20:00 || Agost tancat,Sí,Sí,No,Sí,Sí,10,POINT (2.81142888 41.97539263)
Baix Empordà,"Tallada d'Empordà, la",171959,Sí,42.08324257,3.05903465,Piscina,Piscina municipal De La Tallada D'empordà,"Ctra. Figueres, s/n",664425265,NA,10:00 - 14:00 i 15:00 - 20:00,No,Sí,Sí,Sí,Sí,,POINT (3.05903465 42.08324257)
Baix Llobregat,"Prat de Llobregat, el",081691,Sí,41.32583011,2.10415547,Parc densament arbrat,Plaça Pere Calders,Pl. Pere Calders,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.10415547 41.32583011)
Alt Penedès,Sant Llorenç d'Hortons,082227,Sí,41.46587216,1.81948605,Parc densament arbrat,Parc de Cal Sant Just,"Rda. de la font, 28",NA,NA,Indefinit,Sí,No,Sí,No,No,,POINT (1.81948605 41.46587216)
Vallès Oriental,Vilanova del Vallès,089024,Sí,41.55174735,2.28629735,Biblioteca,Biblioteca Contravent,"Pl. Països Catalans, 4",938456910,b.vilanovav.c@diba.cat,dl. i dt. 15:00 - 20:00 | dc. 10:00 - 14:00 i 15:00 - 20:00 | dj. 15:00 - 20:00 | dv. 09:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.28629735 41.55174735)
Vallès Occidental,Sabadell,081878,Sí,41.52637528,2.11050074,Equipament cívic,Casal cívic Rogelio Soto,"C. de Campoamor, 93-95, 08204 Sabadell, Barcelona",937118372,NA,10:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.11050074 41.52637528)
Priorat,"Figuera, la",430580,Sí,41.21515523,0.73001309,Piscina,Piscina municipal,"C. de la piscina, s/n",977825201,aj.figuera@altanet.org,11:00 - 20:00,Sí,Sí,Sí,Sí,Sí,,POINT (0.73001309 41.21515523)
Baix Llobregat,Sant Boi de Llobregat,082009,Sí,41.34175821,2.04270493,Altres,Casal Can Massallera,"C. Mallorca, 30",936548950,NA,dl. a dv. 09:00 - 22:00 | ds. i dg. 10:00 - 14:00 i 17:00 - 21:00 | Agost: dl. a dv. 09:00 - 21:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.04270493 41.34175821)
Baix Ebre,Deltebre,439018,Sí,40.7111664,0.74697846,Parc densament arbrat,Parc Paco del Chapero,Pg. Paco del Chapero,NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (0.74697846 40.7111664)
Baix Camp,Vandellòs i l'Hospitalet de l'Infant,431628,Sí,41.01825281,0.83228396,Espai cultural,Casal de Joves Vandellòs,"Ptge. Cal Marino, s/n",977569026,joventut@vandellos-hospitalet.cat,18:00 - 00:00,Sí,Sí,Sí,Sí,Sí,40,POINT (0.83228396 41.01825281)
Garrotxa,Olot,171143,Sí,42.18546222,2.47262102,Parc densament arbrat,Parc del Pic del Bac,"C. Alforja, 4",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.47262102 42.18546222)
Pallars Jussà,Senterada,252022,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Tarragonès,"Nou de Gaià, la",430976,Sí,41.18327109,1.37326562,Biblioteca,Biblioteca Municipal de la Nou de Gaià,"C. Castell, 8, 2n pis",977655786,biblioteca@noudegaia.altanet.org,dl. a dv. 10:00 - 13:30 i 16:30 - 19:30,Sí,Sí,No,Sí,Sí,25,POINT (1.37326562 41.18327109)
Vallès Occidental,Sabadell,081878,Sí,41.55390728,2.08482378,Equipament cívic,Centre cívic Can Rull,"C. de Sant Isidor, 51, 08206 Sabadell, Barcelona",937236600,NA,09:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.08482378 41.55390728)
Moianès,Collsuspina,080706,Sí,41.82685382,2.17676259,Piscina,Piscina municipal de Collsuspina,C. de l'esport,938300376,collsuspina@collsuspina.cat,11:00 - 19:00,No,Sí,Sí,Sí,Sí,150,POINT (2.17676259 41.82685382)
Barcelonès,Barcelona,080193,Sí,41.38676631,2.1325047,Equipament cívic,Centre cívic Can Deu,"Pl. de la Concòrdia, 13",NA,candeu@lleuresport.cat,Juliol i Setembre: dl. a dv. 09:00 - 22:00 | ds. 09:00 - 22:00 | dg. 10:00 - 14:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.1325047 41.38676631)
Bages,Manresa,081136,Sí,41.7246376,1.8261963,Altres,Alberg de Joventut,"Pl. Mil centenari, s/n",938750396,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (1.8261963 41.7246376)
Gironès,Girona,170792,Sí,42.01238244,2.8254044,Equipament cívic,Centre cívic Pont Major,"C. Pont Major, 67-73, 17007 Girona",972205244,CentreCivicPontMajor@ajgiorna. cat,dl. a dv. 09:00 - 13:00 i 16:00 - 20:00 || Agost tancat,Sí,Sí,No,Sí,Sí,10,POINT (2.8254044 42.01238244)
Maresme,Dosrius,080752,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Baix Llobregat,Castellví de Rosanes,080667,Sí,41.456128,1.949213,Equipament cívic,Centre cívic de Can Sunyer i Valldaina,"C. Sant Llorenç de Morunys, 6 bis",937765872,info@castellviderosanes.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,130,POINT (1.949213 41.456128)
Baix Llobregat,Vallirana,082956,Sí,41.3899774,1.93461898,Biblioteca,Bilbioteca Josep Maria López Picó,"Ptge. Bon Retir, 6, 08759 Vallirana, Barcelona",936831365,NA,dl. i dj. 15:00 - 20:00 | dj. i dv. 09:30 a 13:30,Sí,Sí,Sí,Sí,Sí,,POINT (1.93461898 41.3899774)
Vallès Occidental,Santa Perpètua de Mogoda,082606,Sí,41.53062886,2.18560382,Parc densament arbrat,Parc dels Països Catalans,"C. de Pablo Ruiz Picasso, 18, 08130 Santa Perpètua de Mogoda",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.18560382 41.53062886)
Pallars Jussà,Tremp,252347,Sí,42.1621613,0.89825412,Piscina,Piscina municipal de Tremp,"C. D, 25620 Tremp, Lleida (PARC DEL PINELL)",NA,NA,11:00 - 20:00,No,Sí,No,Sí,Sí,40,POINT (0.89825412 42.1621613)
Baix Llobregat,Sant Vicenç dels Horts,082634,Sí,41.39816665,2.00938034,Parc densament arbrat,Parc del Mamut Venux,"Ctra. de Sant Boi, 59, 08620 Sant Vicenç dels Horts, Barcelona",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,50,POINT (2.00938034 41.39816665)
Anoia,Sant Martí de Tous,082264,Sí,41.56087244,1.52463544,Equipament cívic,Cal Frares,"Pl. de l'Esglèsia, 1",NA,NA,09:00 - 20:00,Sí,Sí,Sí,Sí,Sí,150,POINT (1.52463544 41.56087244)
